mean_fit_time,"[0.02778349 0.02658501 0.02558513 0.02729402 0.02758856 0.02878237
 0.02818327 0.02699666 0.02538486]"
std_fit_time,"[0.0029199  0.00240683 0.00196395 0.00207792 0.00185606 0.00375816
 0.0026355  0.00155379 0.00119974]"
mean_score_time,"[0.00219941 0.00239892 0.00219922 0.00300212 0.00241232 0.0026001
 0.00320163 0.00262485 0.00279865]"
std_score_time,"[0.00039983 0.00048088 0.00039957 0.00089343 0.0005068  0.00049019
 0.0007517  0.00051271 0.0007474 ]"
param_criterion,"['entropy' 'entropy' 'entropy' 'entropy' 'entropy' 'entropy' 'entropy'
 'entropy' 'entropy']"
param_max_depth,[10 10 10 20 20 20 100 100 100]
param_min_samples_leaf,[1 4 8 1 4 8 1 4 8]
params,"[{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1}, {'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4}, {'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 8}, {'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1}, {'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 4}, {'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 8}, {'criterion': 'entropy', 'max_depth': 100, 'min_samples_leaf': 1}, {'criterion': 'entropy', 'max_depth': 100, 'min_samples_leaf': 4}, {'criterion': 'entropy', 'max_depth': 100, 'min_samples_leaf': 8}]"
split0_test_score,"[0.9515625 0.9265625 0.9203125 0.946875  0.9265625 0.9203125 0.946875
 0.9265625 0.9203125]"
split1_test_score,"[0.915625  0.9078125 0.884375  0.91875   0.9109375 0.884375  0.91875
 0.9109375 0.884375 ]"
split2_test_score,"[0.934375  0.934375  0.925     0.9375    0.9390625 0.925     0.9375
 0.9390625 0.925    ]"
split3_test_score,"[0.940625 0.93125  0.928125 0.940625 0.93125  0.928125 0.940625 0.93125
 0.928125]"
split4_test_score,"[0.9296875 0.928125  0.928125  0.9375    0.925     0.928125  0.9375
 0.925     0.928125 ]"
mean_test_score,"[0.934375  0.925625  0.9171875 0.93625   0.9265625 0.9171875 0.93625
 0.9265625 0.9171875]"
std_test_score,"[0.01189965 0.0093018  0.01665364 0.00939581 0.00921743 0.01665364
 0.00939581 0.00921743 0.01665364]"
rank_test_score,[3 6 7 1 4 7 1 4 7]
split0_train_score,"[0.99648437 0.97695312 0.9578125  1.         0.97695312 0.9578125
 1.         0.97695312 0.9578125 ]"
split1_train_score,"[0.99492187 0.97578125 0.94804687 1.         0.97578125 0.94804687
 1.         0.97578125 0.94804687]"
split2_train_score,"[0.99648437 0.97929687 0.96484375 1.         0.98007813 0.96484375
 1.         0.98007813 0.96484375]"
split3_train_score,"[0.99414062 0.97382813 0.9578125  1.         0.97578125 0.9578125
 1.         0.97578125 0.9578125 ]"
split4_train_score,"[0.9953125  0.97695312 0.95507812 1.         0.97773438 0.95507812
 1.         0.97773438 0.95507812]"
mean_train_score,"[0.99546875 0.9765625  0.95671875 1.         0.97726562 0.95671875
 1.         0.97726562 0.95671875]"
std_train_score,"[0.00091109 0.00178152 0.00540927 0.         0.00158961 0.00540927
 0.         0.00158961 0.00540927]"
